Reporting_Airline,IATA_CODE_Reporting_Airline,Aircraft,Form,To,DepTime,ArrTime,ArrDelayMinutes,ActualElapsedTime,Distance,OriginUTC,DestUTC,SDT,SAT,FTij,bus,eco,ACtype,demand_bus,demand_eco,fare_bus,fare_eco,cost,Flight
OH,OH,10,S145,S110,523,717,0,114,406,-5,-5,37380,44220,6840,9,54,6,7,24,109,91,4787,1
WN,WN,7,S46,S175,612,651,0,99,462,-5,-6,40320,46260,5940,0,143,1,0,70,73,145,7542,2
WN,WN,12,S132,S109,513,614,0,181,1090,-6,-8,40380,51240,10860,0,143,1,0,62,174,245,12729,3
WN,WN,14,S102,S27,632,837,47,185,1189,-5,-5,41520,52620,11100,0,175,2,0,79,190,277,15302,4
WN,WN,9,S43,S21,608,812,0,124,798,-6,-6,43680,51120,7440,0,143,1,0,56,127,199,10318,5
WN,WN,13,S141,S59,650,747,0,57,305,-6,-6,46200,49620,3420,0,175,2,0,70,48,136,7056,6
OH,OH,10,S110,S135,813,930,0,77,319,-5,-5,47580,52200,4620,9,54,6,7,16,96,78,4301,7
WN,WN,1,S5,S109,515,631,0,76,407,-8,-8,47700,52260,4560,0,143,1,0,53,65,136,7089,8
WN,WN,7,S175,S120,755,927,0,92,391,-6,-5,50100,55620,5520,0,143,1,0,73,62,134,6957,9
WN,WN,5,S155,S109,658,723,0,85,368,-7,-8,50280,55380,5100,0,143,1,0,64,58,130,6766,10
WN,WN,11,S180,S49,734,909,0,95,649,-7,-7,52440,58140,5700,0,143,1,0,61,103,175,9087,11
WN,WN,13,S59,S132,844,1010,0,86,444,-6,-6,53040,58200,5160,0,175,2,0,79,71,158,8353,12
WN,WN,12,S109,S12,651,748,0,57,226,-8,-8,53460,56880,3420,0,143,1,0,67,36,107,5594,13
WN,WN,14,S27,S134,919,1121,26,122,787,-5,-5,54540,62860,7320,0,175,2,0,75,125,213,11552,14
OH,OH,10,S135,S110,1014,1128,0,74,319,-5,-5,54840,59280,4440,9,54,6,7,32,96,78,4301,15
WN,WN,2,S40,S109,718,927,32,129,806,-8,-8,55080,62820,7740,0,143,1,0,66,128,200,10384,16
WN,WN,9,S21,S49,921,1101,0,160,888,-6,-7,55260,64860,9600,0,143,1,0,61,142,213,11061,17
WN,WN,8,S49,S109,828,922,0,114,628,-7,-8,55680,62520,6840,0,143,1,0,58,100,171,8914,18
WN,WN,6,S140,S75,734,847,0,73,373,-8,-8,56040,60420,4380,0,143,1,0,54,59,131,6808,19
WN,WN,1,S109,S104,735,836,0,61,223,-8,-8,56100,59760,3660,0,143,1,0,64,35,107,5568,20
OO,OO,3,S49,S34,835,1041,29,66,292,-7,-6,56100,60060,3960,4,46,4,3,16,66,69,3827,21
WN,WN,5,S109,S5,805,934,0,89,407,-8,-8,57900,63240,5340,0,143,1,0,63,65,136,7089,22
WN,WN,7,S120,S51,1004,1143,0,99,488,-5,-6,58240,64180,5940,0,143,1,0,58,78,149,7757,23
WN,WN,4,S75,S109,815,932,32,77,397,-8,-8,58500,63120,4620,0,143,1,0,63,63,135,7006,24
WN,WN,12,S12,S92,839,1002,7,83,342,-8,-8,59940,64920,4980,0,143,1,0,61,54,126,6551,25
